timestamp,open,high,low,close,volume,adjustedClose,dividendAmount,splitCoefficient
2019-02-13,136.92,137.92,136.41,137.52,4253042,104.132096308108,0.0000,1.0
2014-01-28,178.05,178.45,176.16,176.85,5333300,110.996056423111,0.0000,1.0
2019-02-12,135.15,136.2,134.86,136.05,3317161,103.018991439195,0.0000,1.0
2014-01-27,179.605,179.65,177.66,177.9,5208600,111.655066088049,0.0000,1.0
2019-02-11,134.29,135.15,133.91,133.99,3095069,101.459130194324,0.0000,1.0
2022-12-02,148.13,149.16,147.73,148.67,2899995,141.60203715611,0.0000,1.0
2022-12-01,149.98,150.01,147.34,149.16,4495924,142.06874192645,0.0000,1.0
2014-01-24,181.25,182.8141,179.64,179.64,6890600,112.747139247089,0.0000,1.0
2014-01-23,181.43,183.72,180.71,182.73,6973900,114.686510546764,0.0000,1.0
2014-01-22,181.28,183.5,179.67,182.25,13796100,114.385248985649,0.0000,1.0
2014-01-31,176.11,177.835,175.34,176.68,5193400,110.889359620217,0.0000,1.0
2014-01-30,177.17,177.86,176.36,177.36,4853700,111.316146831795,0.0000,1.0
2020-02-28,129.98,131.09,126.36,130.15,13009236,103.149107143567,0.0000,1.0
2005-09-12,81.03,82.11,81.0,81.48,3692800,44.5129282416969,0.0000,1.0
2005-09-13,81.49,81.49,80.52,80.75,5040900,44.114125619993,0.0000,1.0
2020-02-03,144.25,147.28,143.9,146.27,8886414,114.71348792759,0.0000,1.0
2019-02-28,138.77,139.06,137.72,138.13,3457788,104.593996967997,0.0000,1.0
2005-10-03,80.22,80.6,79.5,80.45,5297600,43.9502341316215,0.0000,1.0
2005-09-14,80.75,81.4,80.42,80.48,3887700,43.9666232804586,0.0000,1.0
2020-02-04,147.78,149.38,146.88,149.11,5619700,116.940782011916,0.0000,1.0
2019-02-27,139.25,139.57,138.4,139.17,2530968,105.381499732398,0.0000,1.0
2005-09-15,80.43,80.65,79.67,80.01,4864100,43.7098599486766,0.0000,1.0
2020-02-05,150.21,157.44,150.15,156.33,14379714,122.603128240379,0.0000,1.0
2019-02-26,139.67,140.49,139.47,139.72,3060381,105.797967540495,0.0000,1.0
2005-09-16,80.38,80.5,79.83,80.33,7624900,43.8846775362729,0.0000,1.0
2019-02-25,140.0,140.47,139.32,139.46,3194161,105.601091849395,0.0000,1.0
2005-10-06,79.82,80.27,78.7,79.7,8130200,43.5405054106928,0.0000,1.0
2022-12-30,140.54,140.9,139.45,140.89,2858110,134.191908353564,0.0000,1.0
2005-10-07,80.25,81.12,80.09,80.5,6130100,43.9775493796834,0.0000,1.0
2005-10-04,80.65,81.47,79.93,80.11,6365100,43.7644904448005,0.0000,1.0
2019-02-22,138.73,139.38,138.43,139.25,3113698,105.442076868121,0.0000,1.0
2005-10-05,80.11,80.68,79.56,79.82,4998800,43.6060620060414,0.0000,1.0
2019-02-21,137.82,138.35,137.35,137.84,2937467,104.374404851001,0.0000,1.0
2019-02-20,138.76,139.24,137.22,138.0,3801979,104.495559122447,0.0000,1.0
2022-12-28,142.4,142.81,139.95,140.02,2539577,133.363269271531,0.0000,1.0
2022-12-27,141.73,142.72,141.23,142.42,2742525,135.649170187484,0.0000,1.0
2022-12-29,140.58,142.26,140.45,141.06,2337207,134.35382633511,0.0000,1.0
2005-09-06,79.7,81.19,79.7,81.02,6305500,44.2616279595273,0.0000,1.0
2005-09-07,80.7,81.13,80.32,80.98,4116300,44.2397757610778,0.0000,1.0
2005-09-08,81.28,81.52,80.5,80.8,4277300,44.1414408680549,0.0000,1.0
2005-09-09,80.86,81.49,80.52,81.44,3982200,44.4910760432474,0.0000,1.0
2005-09-20,79.27,79.65,78.63,78.7,7122300,42.9942004494545,0.0000,1.0
2020-02-10,152.97,154.44,151.58,154.43,5237553,122.391983220753,0.0000,1.0
2005-09-21,78.0,78.46,77.37,77.56,7126000,42.3714127936428,0.0000,1.0
2020-02-11,155.12,155.22,152.73,153.48,3833574,121.639070029924,0.0000,1.0
2005-09-22,77.56,78.5,77.3,78.21,6870400,42.7265110184477,0.0000,1.0
2020-02-12,153.75,155.6,153.52,155.31,4437792,123.089418597521,0.0000,1.0
2005-09-23,77.7,78.11,77.5,78.0,5434600,42.6117869765876,0.0000,1.0
2020-02-13,154.37,154.83,153.41,154.31,3819757,122.296878396649,0.0000,1.0
2020-02-14,154.42,154.56,149.77,150.7,6095081,119.435808271499,0.0000,1.0
2005-09-26,78.31,78.41,76.93,77.41,5433200,42.289467049457,0.0000,1.0
2005-09-27,77.17,78.6,77.16,77.99,5499600,42.6063239269753,0.0000,1.0
2022-12-20,138.84,141.425,138.34,141.28,5156450,134.563367252406,0.0000,1.0
2022-12-23,140.59,141.8565,139.6,141.65,2092715,134.915776976949,0.0000,1.0
2022-12-22,140.95,141.44,138.62,140.88,3337851,134.182383766414,0.0000,1.0
